,uid,conf,bulk,categ,balance,op_coin,bt_coin,days,end,long,l_AU,l_gridspan,l_we,l_adg,l_gain,l_TP,l_bkrupt,short,s_AU,s_gridspan,s_we,s_adg,s_gain,s_TP,s_bkrupt
7,43c21,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/FTMUSDT_0.2.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/FTMUSDT_0.2.1/bulk_optimisation.hjson),MDCL,12000,12,FTMUSDT,663,2022/07/20,True,True,37%,0.1,0.0163%,12.41%,0.3% /0.2%/,100.0%,True,True,24%,0.1,0.00978%,8.515%,0.28% /0.16%/,100.0%
12,78000,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/MATICUSDT_0.2/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/MATICUSDT_0.2/bulk_optimisation.hjson),MDCL,12000,12,MATICUSDT,635,2022/07/20,True,True,24%,0.1,0.0338%,26.13%,0.3% /0.18%/,100.0%,True,True,46%,0.1,0.00936%,6.614%,0.28% /0.19%/,100.0%
10,69b76,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/ATOMUSDT_0.2.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/ATOMUSDT_0.2.1/bulk_optimisation.hjson),MDCL,12000,12,ATOMUSDT,893,2022/07/20,True,True,23%,0.1,0.0177%,18.94%,0.28% /0.18%/,100.0%,True,True,26%,0.1,0.0162%,16.92%,0.28% /0.19%/,100.0%
11,040e0,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/ADAUSDT_0.2.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/ADAUSDT_0.2.1/bulk_optimisation.hjson),MDCL,12000,12,ADAUSDT,900,2022/07/20,True,True,21%,0.1,0.0309%,36.34%,0.29% /0.19%/,100.0%,True,True,29%,0.1,0.00966%,9.838%,0.28% /0.2%/,100.0%
8,57f1e,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/DOTUSDT_0.2.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/DOTUSDT_0.2.1/bulk_optimisation.hjson),MDCL,12000,12,DOTUSDT,696,2022/07/20,True,True,20%,0.1,0.0226%,18.8%,0.3% /0.19%/,100.0%,True,True,24%,0.1,0.0156%,12.6%,0.29% /0.15%/,100.0%
9,eb1ed,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/AVAXUSDT_0.2.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/AVAXUSDT_0.2.1/bulk_optimisation.hjson),MDCL,12000,12,AVAXUSDT,664,2022/07/20,True,True,20%,0.1,0.0291%,25.43%,0.29% /0.15%/,100.0%,True,True,53%,0.1,0.0118%,8.837%,0.29% /0.2%/,100.0%
6,7901a,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/LINKUSDT_0.2.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/LINKUSDT_0.2.1/bulk_optimisation.hjson),MDCL,12000,1,LINKUSDT,914,2022/07/20,True,True,23%,0.1,0.0186%,20.36%,0.3% /0.18%/,100.0%,True,True,24%,0.1,0.0113%,12.0%,0.29% /0.2%/,100.0%
16,03673,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/ATOMUSDT_0.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/ATOMUSDT_0.1/bulk_optimisation.hjson),MDCL,10000,12,ATOMUSDT,885,2022/07/12,True,True,42%,0.1,0.0353%,41.79%,0.5% /0.16%/,100.0%,True,True,32%,0.1,0.0137%,13.79%,0.47% /0.09%/,100.0%
17,97472,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/ADAUSDT_0.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/ADAUSDT_0.1/bulk_optimisation.hjson),MDCL,10000,12,ADAUSDT,892,2022/07/12,True,True,35%,0.1,0.0361%,42.18%,0.49% /0.2%/,100.0%,True,True,47%,0.1,0.00681%,6.594%,0.5% /0.19%/,100.0%
2,f6a08,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/SOLUSDT_0.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/SOLUSDT_0.1/bulk_optimisation.hjson),MDCL,10000,10,SOLUSDT,665,2022/07/12,True,True,30%,0.1,0.0296%,25.94%,0.29% /0.19%/,100.0%,True,True,57%,0.1,0.0226%,8.237%,0.29% /0.2%/,100.0%
15,40823,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/AVAXUSDT_0.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/AVAXUSDT_0.1/bulk_optimisation.hjson),MDCL,10000,10,AVAXUSDT,656,2022/07/12,True,True,27%,0.1,0.0294%,25.04%,0.28% /0.19%/,100.0%,True,True,44%,0.1,0.0137%,10.19%,0.29% /0.2%/,100.0%
14,73486,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/DOTUSDT_0.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/DOTUSDT_0.1/bulk_optimisation.hjson),MDCL,10000,10,DOTUSDT,688,2022/07/12,True,True,15%,0.1,0.0231%,18.99%,0.29% /0.2%/,100.0%,True,True,29%,0.1,0.0145%,11.43%,0.27% /0.2%/,100.0%
1,5e6fd,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/SOLUSDT_0.2.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/SOLUSDT_0.2.1/bulk_optimisation.hjson),MDCL,10000,6,SOLUSDT,673,2022/07/20,True,True,34%,0.1,0.0281%,24.71%,0.3% /0.2%/,100.0%,True,True,49%,0.1,0.0417%,11.16%,0.29% /0.2%/,53.48%
3,fee62,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/SANDUSDT_0.2.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/SANDUSDT_0.2.1/bulk_optimisation.hjson),MDCL,10000,6,SANDUSDT,540,2022/07/20,True,True,31%,0.1,0.0362%,23.55%,0.28% /0.2%/,100.0%,True,True,34%,0.1,0.0193%,12.19%,0.29% /0.17%/,100.0%
0,8c857,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/VETUSDT_0.2.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/VETUSDT_0.2.1/bulk_optimisation.hjson),MDCL,10000,6,VETUSDT,886,2022/07/20,True,True,27%,0.1,0.0191%,20.07%,0.29% /0.18%/,100.0%,True,True,23%,0.1,0.0187%,19.7%,0.3% /0%/,100.0%
5,d2692,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/MANAUSDT_0.2.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/MANAUSDT_0.2.1/bulk_optimisation.hjson),MDCL,10000,6,MANAUSDT,491,2022/07/20,True,True,23%,0.1,0.0248%,14.34%,0.29% /0.15%/,100.0%,True,True,20%,0.1,0.023%,13.06%,0.28% /0.19%/,100.0%
4,b1d92,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/MATICUSDT_0.2.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/MATICUSDT_0.2.1/bulk_optimisation.hjson),MDCL,10000,2,MATICUSDT,635,2022/07/20,True,True,24%,0.1,0.0326%,25.53%,0.28% /0.2%/,100.0%,True,True,24%,0.1,0.0177%,12.81%,0.3% /0.19%/,100.0%
13,a0c33,[conf](https://github.com/tedyptedto/pbos/blob/main//MDCL/MATICUSDT_0.1/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//MDCL/MATICUSDT_0.1/bulk_optimisation.hjson),MDCL,10000,1,MATICUSDT,627,2022/07/12,True,True,15%,0.1,0.0353%,26.45%,0.44% /0.19%/,100.0%,True,True,52%,0.1,0.0103%,7.073%,0.49% /0.18%/,100.0%
